Index,"Post Length","Encryption Start","Encryption End","Encryption Delta","Start Time","End Time","Process Delta"
1,270,1777120107.4532,1777120107.4534,0.00020003318786621,1777120107.4532,1777120107.4545,0.0013349056243896
2,275,1777120107.5646,1777120107.5648,0.00016593933105469,1777120107.5646,1777120107.566,0.0014150142669678
3,263,1777120107.6598,1777120107.66,0.00016903877258301,1777120107.6598,1777120107.6613,0.0014331340789795
4,230,1777120107.7499,1777120107.7501,0.00015616416931152,1777120107.7499,1777120107.7511,0.0011639595031738
5,256,1777120107.8481,1777120107.8482,0.00017380714416504,1777120107.8481,1777120107.8492,0.0010831356048584
6,295,1777120107.9342,1777120107.9344,0.00014495849609375,1777120107.9342,1777120107.9358,0.001533031463623
7,273,1777120108.0259,1777120108.0262,0.0002739429473877,1777120108.0259,1777120108.0272,0.0012640953063965
8,275,1777120108.111,1777120108.1112,0.00023388862609863,1777120108.111,1777120108.1122,0.0012438297271729
9,243,1777120108.2053,1777120108.2054,0.00014615058898926,1777120108.2053,1777120108.2065,0.0012600421905518
10,286,1777120108.2991,1777120108.2993,0.00015902519226074,1777120108.2991,1777120108.3,0.00089907646179199
11,255,1777120108.3926,1777120108.3928,0.00017690658569336,1777120108.3926,1777120108.394,0.0013771057128906
12,256,1777120108.4744,1777120108.4746,0.00016283988952637,1777120108.4744,1777120108.4756,0.0011920928955078
13,249,1777120108.5559,1777120108.5561,0.00015521049499512,1777120108.5559,1777120108.557,0.0010461807250977
14,260,1777120108.6387,1777120108.6389,0.00016617774963379,1777120108.6387,1777120108.6398,0.0010490417480469
15,297,1777120108.7476,1777120108.7478,0.00018811225891113,1777120108.7476,1777120108.7486,0.0010550022125244
16,278,1777120108.8269,1777120108.827,0.00018000602722168,1777120108.8269,1777120108.8279,0.0010249614715576
17,257,1777120108.9509,1777120108.9511,0.00016498565673828,1777120108.9509,1777120108.9521,0.001176118850708
18,291,1777120109.0321,1777120109.0323,0.00027179718017578,1777120109.0321,1777120109.0334,0.0013418197631836
19,225,1777120109.117,1777120109.1171,0.00016689300537109,1777120109.117,1777120109.118,0.0010499954223633
20,268,1777120109.1948,1777120109.1949,0.00015497207641602,1777120109.1948,1777120109.1959,0.0010759830474854
21,221,1777120109.281,1777120109.2811,0.00014591217041016,1777120109.281,1777120109.2818,0.00081396102905273
22,288,1777120109.363,1777120109.3631,0.00014901161193848,1777120109.363,1777120109.3641,0.0010700225830078
23,245,1777120109.4467,1777120109.4468,0.0001518726348877,1777120109.4467,1777120109.448,0.0012829303741455
24,223,1777120109.5303,1777120109.5304,0.00015902519226074,1777120109.5303,1777120109.5314,0.0011558532714844
25,216,1777120109.6141,1777120109.6143,0.00013184547424316,1777120109.6141,1777120109.6151,0.0009620189666748
26,235,1777120109.7144,1777120109.7146,0.00017714500427246,1777120109.7144,1777120109.7158,0.0013060569763184
27,264,1777120109.8211,1777120109.8213,0.00014686584472656,1777120109.8211,1777120109.8222,0.0010950565338135
28,222,1777120109.9053,1777120109.9055,0.0001988410949707,1777120109.9053,1777120109.9065,0.001227855682373
29,264,1777120109.9932,1777120109.9934,0.00016093254089355,1777120109.9932,1777120109.9944,0.0012068748474121
30,212,1777120110.073,1777120110.0731,0.00014901161193848,1777120110.073,1777120110.0741,0.0011050701141357
31,234,1777120110.1528,1777120110.1529,0.00014901161193848,1777120110.1528,1777120110.1541,0.0013458728790283
32,249,1777120110.2371,1777120110.2372,0.00014591217041016,1777120110.2371,1777120110.2381,0.001011848449707
33,246,1777120110.3183,1777120110.3185,0.00017714500427246,1777120110.3183,1777120110.3194,0.0011229515075684
34,279,1777120110.4027,1777120110.4028,0.0001530647277832,1777120110.4027,1777120110.4037,0.0010111331939697
35,223,1777120110.4838,1777120110.484,0.00020098686218262,1777120110.4838,1777120110.4854,0.0016191005706787
36,209,1777120110.569,1777120110.5692,0.00015091896057129,1777120110.569,1777120110.5701,0.0010380744934082
37,296,1777120110.6529,1777120110.653,0.00016498565673828,1777120110.6529,1777120110.6539,0.0010330677032471
38,214,1777120110.7346,1777120110.7348,0.00017094612121582,1777120110.7346,1777120110.7357,0.0010759830474854
39,268,1777120110.8076,1777120110.8077,0.00012898445129395,1777120110.8076,1777120110.8088,0.0012490749359131
40,228,1777120110.8886,1777120110.8888,0.00015616416931152,1777120110.8886,1777120110.8896,0.0010440349578857
41,260,1777120110.9722,1777120110.9724,0.00016593933105469,1777120110.9722,1777120110.9733,0.0010459423065186
42,293,1777120111.0606,1777120111.0609,0.0002140998840332,1777120111.0606,1777120111.0619,0.0012218952178955
43,254,1777120111.1405,1777120111.1407,0.00020885467529297,1777120111.1405,1777120111.1416,0.0011088848114014
44,217,1777120111.2128,1777120111.2129,0.00018310546875,1777120111.2128,1777120111.214,0.001215934753418
45,255,1777120111.3,1777120111.3001,0.00012612342834473,1777120111.3,1777120111.3009,0.00094699859619141
46,284,1777120111.3823,1777120111.3825,0.00017094612121582,1777120111.3823,1777120111.3835,0.0011460781097412
47,239,1777120111.4684,1777120111.4685,0.0001530647277832,1777120111.4684,1777120111.4695,0.0010991096496582
48,247,1777120111.5506,1777120111.5508,0.00017714500427246,1777120111.5506,1777120111.5518,0.0011329650878906
49,293,1777120111.6375,1777120111.6376,0.00016999244689941,1777120111.6375,1777120111.6385,0.0010230541229248
50,291,1777120111.7309,1777120111.7311,0.00022578239440918,1777120111.7309,1777120111.7321,0.0012211799621582
51,216,1777120111.8139,1777120111.8141,0.00022506713867188,1777120111.8139,1777120111.8151,0.0012772083282471
52,250,1777120111.9225,1777120111.9227,0.00021100044250488,1777120111.9225,1777120111.9243,0.001741886138916
53,260,1777120112.0117,1777120112.012,0.00027799606323242,1777120112.0117,1777120112.0131,0.0013599395751953
54,278,1777120112.1072,1777120112.1074,0.00017595291137695,1777120112.1072,1777120112.1089,0.0016930103302002
55,262,1777120112.197,1777120112.1972,0.00015616416931152,1777120112.197,1777120112.1981,0.0010969638824463
56,250,1777120112.2888,1777120112.2895,0.00075483322143555,1777120112.2888,1777120112.2907,0.0019769668579102
57,242,1777120112.3766,1777120112.3768,0.00016999244689941,1777120112.3766,1777120112.3777,0.0010859966278076
58,233,1777120112.4591,1777120112.4594,0.0002131462097168,1777120112.4591,1777120112.4604,0.001230001449585
59,250,1777120112.5512,1777120112.5514,0.00015807151794434,1777120112.5512,1777120112.5522,0.0010061264038086
60,281,1777120112.6201,1777120112.6202,0.00013899803161621,1777120112.6201,1777120112.6212,0.0011129379272461
61,266,1777120112.7171,1777120112.7172,0.00015616416931152,1777120112.7171,1777120112.7182,0.0010850429534912
62,239,1777120112.8096,1777120112.8098,0.00018811225891113,1777120112.8096,1777120112.8112,0.0016751289367676
63,276,1777120113.1963,1777120113.1965,0.00020194053649902,1777120113.1963,1777120113.198,0.0016767978668213
64,231,1777120113.2848,1777120113.285,0.00014615058898926,1777120113.2848,1777120113.2859,0.0010881423950195
65,297,1777120113.3524,1777120113.3526,0.00017786026000977,1777120113.3524,1777120113.3535,0.0010859966278076
66,290,1777120113.4365,1777120113.4367,0.00019001960754395,1777120113.4365,1777120113.4377,0.0012149810791016
67,240,1777120113.5162,1777120113.5163,0.00012803077697754,1777120113.5162,1777120113.5171,0.00094485282897949
68,264,1777120113.596,1777120113.5962,0.00025415420532227,1777120113.596,1777120113.5972,0.0012130737304688
69,268,1777120113.679,1777120113.6791,0.00018119812011719,1777120113.679,1777120113.6801,0.0011320114135742
70,212,1777120113.7606,1777120113.7607,0.00015401840209961,1777120113.7606,1777120113.7617,0.00111985206604
71,214,1777120113.8414,1777120113.8416,0.00016212463378906,1777120113.8414,1777120113.8427,0.0013060569763184
72,290,1777120113.9121,1777120113.9122,0.00016689300537109,1777120113.9121,1777120113.9133,0.0012259483337402
73,251,1777120113.9992,1777120113.9994,0.00017213821411133,1777120113.9992,1777120114.0004,0.0011169910430908
74,283,1777120114.0798,1777120114.0799,0.00014591217041016,1777120114.0798,1777120114.0808,0.0010402202606201
75,300,1777120114.1629,1777120114.1631,0.00019598007202148,1777120114.1629,1777120114.1639,0.0010478496551514
76,227,1777120114.2465,1777120114.2467,0.00020313262939453,1777120114.2465,1777120114.2476,0.0011069774627686
77,233,1777120114.324,1777120114.3241,0.00019383430480957,1777120114.3239,1777120114.3253,0.0013458728790283
78,299,1777120114.4035,1777120114.4036,0.00015687942504883,1777120114.4035,1777120114.4045,0.0010499954223633
79,202,1777120114.4847,1777120114.4852,0.00050902366638184,1777120114.4847,1777120114.486,0.0013420581817627
80,264,1777120114.5681,1777120114.5683,0.00022411346435547,1777120114.5681,1777120114.5692,0.0011641979217529
81,227,1777120114.6484,1777120114.6485,0.00016283988952637,1777120114.6484,1777120114.6495,0.0010881423950195
82,299,1777120114.7296,1777120114.7299,0.00027108192443848,1777120114.7296,1777120114.7313,0.0016300678253174
83,270,1777120114.8555,1777120114.8556,0.00016498565673828,1777120114.8555,1777120114.8567,0.0012600421905518
84,240,1777120114.9736,1777120114.9738,0.0001680850982666,1777120114.9736,1777120114.9747,0.0010390281677246
85,268,1777120115.0622,1777120115.0625,0.00028586387634277,1777120115.0622,1777120115.0637,0.0014770030975342
86,300,1777120115.1562,1777120115.1563,0.00015091896057129,1777120115.1562,1777120115.1574,0.0012671947479248
87,281,1777120115.2322,1777120115.2324,0.00015592575073242,1777120115.2322,1777120115.2333,0.0010600090026855
88,242,1777120115.3237,1777120115.3238,0.00013303756713867,1777120115.3237,1777120115.3254,0.0017249584197998
89,280,1777120115.4103,1777120115.4104,0.00012516975402832,1777120115.4103,1777120115.4112,0.00093793869018555
90,284,1777120115.489,1777120115.4892,0.00015997886657715,1777120115.489,1777120115.4901,0.0010747909545898
91,261,1777120115.5697,1777120115.5699,0.00019598007202148,1777120115.5697,1777120115.5708,0.0011711120605469
92,299,1777120115.6538,1777120115.654,0.00016593933105469,1777120115.6538,1777120115.655,0.0011940002441406
93,248,1777120115.7385,1777120115.7387,0.00014305114746094,1777120115.7385,1777120115.7396,0.0010850429534912
94,202,1777120115.8263,1777120115.8266,0.00024104118347168,1777120115.8263,1777120115.8275,0.0011718273162842
95,228,1777120115.9134,1777120115.9136,0.00021505355834961,1777120115.9134,1777120115.915,0.0016069412231445
96,283,1777120116.0054,1777120116.0056,0.00021696090698242,1777120116.0054,1777120116.007,0.0015809535980225
97,300,1777120116.0846,1777120116.0848,0.00016188621520996,1777120116.0846,1777120116.0859,0.0012660026550293
98,280,1777120116.1775,1777120116.1776,0.00015592575073242,1777120116.1775,1777120116.1787,0.0012519359588623
99,231,1777120116.2583,1777120116.2585,0.00017285346984863,1777120116.2583,1777120116.2594,0.0010480880737305
100,230,1777120116.3387,1777120116.3389,0.0002138614654541,1777120116.3387,1777120116.3401,0.0014619827270508
101,260,1777120116.4212,1777120116.4215,0.00025105476379395,1777120116.4212,1777120116.4225,0.0012497901916504
102,297,1777120116.5054,1777120116.5056,0.00022006034851074,1777120116.5054,1777120116.5066,0.0011889934539795
103,299,1777120116.5844,1777120116.5845,0.0001530647277832,1777120116.5844,1777120116.5855,0.0010998249053955
104,243,1777120116.6564,1777120116.6566,0.00014495849609375,1777120116.6564,1777120116.6577,0.0012681484222412
105,238,1777120116.7462,1777120116.7463,0.00012898445129395,1777120116.7462,1777120116.7472,0.00095391273498535
106,238,1777120116.8367,1777120116.8368,0.00013995170593262,1777120116.8367,1777120116.8378,0.0011439323425293
107,255,1777120116.9161,1777120116.9163,0.00017690658569336,1777120116.9161,1777120116.9176,0.0015299320220947
108,280,1777120117.0002,1777120117.0004,0.00013494491577148,1777120117.0002,1777120117.0012,0.00094795227050781
109,283,1777120117.1001,1777120117.1003,0.00017309188842773,1777120117.1001,1777120117.1012,0.0010731220245361
110,266,1777120117.1779,1777120117.1781,0.00018501281738281,1777120117.1779,1777120117.1791,0.0012698173522949
111,262,1777120117.2432,1777120117.2434,0.00015497207641602,1777120117.2432,1777120117.2443,0.0010628700256348
112,230,1777120117.3285,1777120117.3287,0.00016593933105469,1777120117.3285,1777120117.3296,0.0010979175567627
113,253,1777120117.4124,1777120117.4125,0.00014996528625488,1777120117.4124,1777120117.4134,0.0010209083557129
114,256,1777120117.5046,1777120117.5048,0.00019979476928711,1777120117.5046,1777120117.5059,0.0013530254364014
115,283,1777120117.5799,1777120117.58,0.0001380443572998,1777120117.5799,1777120117.5809,0.0010180473327637
116,234,1777120117.6662,1777120117.6665,0.00027585029602051,1777120117.6662,1777120117.6676,0.0014011859893799
117,237,1777120117.7516,1777120117.7518,0.00014305114746094,1777120117.7516,1777120117.7528,0.0011420249938965
118,221,1777120117.8445,1777120117.8447,0.00014090538024902,1777120117.8445,1777120117.8456,0.0011019706726074
119,262,1777120117.9157,1777120117.916,0.00022196769714355,1777120117.9157,1777120117.9169,0.0011410713195801
120,285,1777120118.0063,1777120118.0065,0.00016903877258301,1777120118.0063,1777120118.0074,0.0010471343994141
121,229,1777120118.0907,1777120118.0908,0.0001521110534668,1777120118.0907,1777120118.0917,0.0010030269622803
122,272,1777120118.1729,1777120118.1731,0.00019288063049316,1777120118.1729,1777120118.1741,0.0011930465698242
123,267,1777120118.2384,1777120118.2385,0.00013303756713867,1777120118.2384,1777120118.2396,0.0012881755828857
124,268,1777120118.3264,1777120118.3266,0.00014400482177734,1777120118.3264,1777120118.3277,0.0012731552124023
125,250,1777120118.4106,1777120118.4107,0.00016093254089355,1777120118.4106,1777120118.4116,0.001011848449707
126,210,1777120118.4904,1777120118.4906,0.0001521110534668,1777120118.4904,1777120118.4918,0.0013439655303955
127,282,1777120118.5711,1777120118.5712,0.00014686584472656,1777120118.5711,1777120118.5721,0.0010409355163574
128,250,1777120118.653,1777120118.6532,0.00015997886657715,1777120118.653,1777120118.6543,0.0012350082397461
129,252,1777120118.7337,1777120118.7339,0.00018000602722168,1777120118.7337,1777120118.7351,0.0013477802276611
130,240,1777120118.8115,1777120118.8116,0.00015711784362793,1777120118.8115,1777120118.8127,0.0012590885162354
131,274,1777120118.8967,1777120118.8968,0.0001680850982666,1777120118.8967,1777120118.8981,0.0014839172363281
132,284,1777120118.9834,1777120118.9836,0.00016307830810547,1777120118.9834,1777120118.9847,0.0012609958648682
133,263,1777120119.0678,1777120119.068,0.00022482872009277,1777120119.0678,1777120119.069,0.0012040138244629
134,234,1777120119.1496,1777120119.1498,0.00015711784362793,1777120119.1496,1777120119.1506,0.00096011161804199
135,241,1777120119.2317,1777120119.2318,0.0001518726348877,1777120119.2317,1777120119.2331,0.0013759136199951
136,275,1777120119.3151,1777120119.3153,0.00013113021850586,1777120119.3151,1777120119.3161,0.0009770393371582
137,260,1777120119.395,1777120119.3952,0.00020289421081543,1777120119.395,1777120119.3961,0.0011341571807861
138,237,1777120119.4754,1777120119.4756,0.00016593933105469,1777120119.4754,1777120119.4766,0.0011818408966064
139,266,1777120119.5696,1777120119.5698,0.00015115737915039,1777120119.5696,1777120119.5707,0.001025915145874
140,220,1777120119.6363,1777120119.6365,0.00019502639770508,1777120119.6363,1777120119.6376,0.0013241767883301
141,244,1777120119.7261,1777120119.7263,0.00015687942504883,1777120119.7261,1777120119.7274,0.0013148784637451
142,286,1777120119.8095,1777120119.8096,0.00014996528625488,1777120119.8095,1777120119.8107,0.0011708736419678
143,278,1777120119.8926,1777120119.8927,0.00015807151794434,1777120119.8926,1777120119.8937,0.0011489391326904
144,229,1777120119.9732,1777120119.9734,0.00015997886657715,1777120119.9732,1777120119.9742,0.0010008811950684
145,230,1777120120.0582,1777120120.0584,0.00016403198242188,1777120120.0582,1777120120.0596,0.0013930797576904
146,290,1777120120.1425,1777120120.1426,0.00014996528625488,1777120120.1425,1777120120.144,0.0015599727630615
147,227,1777120120.227,1777120120.2273,0.00025391578674316,1777120120.227,1777120120.2284,0.0013890266418457
148,276,1777120120.3004,1777120120.3005,0.00013613700866699,1777120120.3004,1777120120.3012,0.00085091590881348
149,300,1777120120.3805,1777120120.3807,0.00014281272888184,1777120120.3805,1777120120.3821,0.0016119480133057
150,250,1777120120.465,1777120120.4652,0.00016903877258301,1777120120.465,1777120120.4661,0.0010848045349121
151,257,1777120120.5509,1777120120.5511,0.00015091896057129,1777120120.5509,1777120120.552,0.001046895980835
152,200,1777120120.6617,1777120120.6619,0.00016188621520996,1777120120.6617,1777120120.6628,0.0010659694671631
153,278,1777120120.786,1777120120.7861,0.00016117095947266,1777120120.786,1777120120.787,0.0010309219360352
154,240,1777120120.8943,1777120120.8945,0.00022006034851074,1777120120.8943,1777120120.8958,0.0014729499816895
155,201,1777120120.9783,1777120120.9786,0.00028491020202637,1777120120.9783,1777120120.98,0.0016350746154785
156,246,1777120121.0825,1777120121.0827,0.00018596649169922,1777120121.0825,1777120121.0837,0.0011100769042969
157,203,1777120121.1641,1777120121.1642,0.00013899803161621,1777120121.1641,1777120121.1657,0.0016279220581055
158,220,1777120121.2452,1777120121.2454,0.00016498565673828,1777120121.2452,1777120121.2463,0.0010390281677246
159,280,1777120121.3263,1777120121.3265,0.0001380443572998,1777120121.3263,1777120121.3274,0.0011308193206787
160,266,1777120121.4046,1777120121.4047,0.00014996528625488,1777120121.4046,1777120121.4058,0.0012378692626953
161,259,1777120121.4871,1777120121.4872,0.00017285346984863,1777120121.4871,1777120121.4883,0.0011940002441406
162,267,1777120121.5675,1777120121.5678,0.0002439022064209,1777120121.5675,1777120121.5687,0.0012080669403076
163,294,1777120121.6615,1777120121.6617,0.00013613700866699,1777120121.6615,1777120121.6626,0.0011019706726074
164,265,1777120121.7462,1777120121.7463,0.00012803077697754,1777120121.7462,1777120121.7472,0.0010249614715576
165,277,1777120121.8286,1777120121.8287,0.00016093254089355,1777120121.8286,1777120121.8296,0.0010437965393066
166,213,1777120121.9091,1777120121.9093,0.0002140998840332,1777120121.9091,1777120121.9103,0.001201868057251
167,288,1777120121.994,1777120121.9941,0.00017094612121582,1777120121.9939,1777120121.995,0.0010240077972412
168,282,1777120122.074,1777120122.0741,0.00017809867858887,1777120122.074,1777120122.0754,0.001471996307373
169,277,1777120122.1579,1777120122.1581,0.00016093254089355,1777120122.1579,1777120122.1591,0.0011599063873291
170,285,1777120122.2398,1777120122.24,0.00014805793762207,1777120122.2398,1777120122.2409,0.0011370182037354
171,203,1777120122.3137,1777120122.3138,0.00012803077697754,1777120122.3137,1777120122.3146,0.00095701217651367
172,295,1777120122.3996,1777120122.3997,0.00016093254089355,1777120122.3996,1777120122.4008,0.0012269020080566
173,264,1777120122.4647,1777120122.4649,0.00013494491577148,1777120122.4647,1777120122.4657,0.00097990036010742
174,227,1777120122.5551,1777120122.5553,0.00016593933105469,1777120122.5551,1777120122.5562,0.0010879039764404
175,265,1777120122.6397,1777120122.6398,0.00014781951904297,1777120122.6397,1777120122.6406,0.00091218948364258
176,240,1777120122.72,1777120122.7203,0.00030899047851562,1777120122.72,1777120122.7215,0.0014469623565674
177,211,1777120122.8119,1777120122.8121,0.00014400482177734,1777120122.8119,1777120122.8132,0.0013070106506348
178,265,1777120122.8949,1777120122.8951,0.00018906593322754,1777120122.8949,1777120122.8959,0.0010759830474854
179,282,1777120122.9777,1777120122.9778,0.00017595291137695,1777120122.9777,1777120122.9789,0.0012001991271973
180,209,1777120123.0613,1777120123.0616,0.00027704238891602,1777120123.0613,1777120123.0626,0.0012691020965576
181,267,1777120123.1651,1777120123.1653,0.00019001960754395,1777120123.1651,1777120123.1668,0.0016241073608398
182,238,1777120123.2441,1777120123.2444,0.00021910667419434,1777120123.2441,1777120123.2453,0.0011119842529297
183,217,1777120123.3274,1777120123.3277,0.00021195411682129,1777120123.3274,1777120123.3287,0.0012381076812744
184,293,1777120123.4092,1777120123.4094,0.00015997886657715,1777120123.4092,1777120123.4101,0.00088596343994141
185,266,1777120123.4873,1777120123.4874,0.00014996528625488,1777120123.4873,1777120123.4884,0.0011270046234131
186,287,1777120123.5685,1777120123.5686,0.0001671314239502,1777120123.5685,1777120123.5696,0.0011579990386963
187,239,1777120123.6506,1777120123.6508,0.00026893615722656,1777120123.6506,1777120123.6518,0.0012288093566895
188,237,1777120123.7325,1777120123.7326,0.0001518726348877,1777120123.7325,1777120123.7334,0.0008997917175293
189,263,1777120123.822,1777120123.8222,0.0001521110534668,1777120123.822,1777120123.823,0.0010170936584473
190,267,1777120123.911,1777120123.9111,0.0001518726348877,1777120123.911,1777120123.9118,0.00086402893066406
191,261,1777120123.9998,1777120124,0.00019097328186035,1777120123.9998,1777120124.0011,0.0013151168823242
192,263,1777120124.0946,1777120124.0948,0.00018906593322754,1777120124.0946,1777120124.096,0.001345157623291
193,222,1777120124.1851,1777120124.1852,0.00017094612121582,1777120124.1851,1777120124.1864,0.0013139247894287
194,213,1777120124.275,1777120124.2752,0.00015997886657715,1777120124.275,1777120124.2764,0.0013401508331299
195,275,1777120124.3546,1777120124.3548,0.00016999244689941,1777120124.3546,1777120124.3558,0.0012140274047852
196,253,1777120124.4595,1777120124.4597,0.00018310546875,1777120124.4595,1777120124.4606,0.0010859966278076
197,263,1777120124.5505,1777120124.5507,0.0002448558807373,1777120124.5505,1777120124.5516,0.0011320114135742
198,216,1777120124.6487,1777120124.6489,0.00015807151794434,1777120124.6487,1777120124.6498,0.0010790824890137
199,250,1777120124.7223,1777120124.7224,0.00014996528625488,1777120124.7223,1777120124.7233,0.0010330677032471
200,224,1777120124.8174,1777120124.8176,0.00017404556274414,1777120124.8174,1777120124.8187,0.0012521743774414
201,213,1777120124.9087,1777120124.9089,0.00022602081298828,1777120124.9087,1777120124.91,0.001317024230957
202,239,1777120124.999,1777120124.9993,0.00023794174194336,1777120124.999,1777120125.0006,0.0015859603881836
203,267,1777120125.0891,1777120125.0893,0.0002129077911377,1777120125.0891,1777120125.0903,0.0012369155883789
204,285,1777120125.1744,1777120125.1746,0.00015807151794434,1777120125.1744,1777120125.1756,0.001133918762207
205,230,1777120125.2602,1777120125.2604,0.00015783309936523,1777120125.2602,1777120125.2614,0.0011329650878906
206,284,1777120125.3535,1777120125.3537,0.00016117095947266,1777120125.3535,1777120125.3553,0.0017721652984619
207,264,1777120125.4355,1777120125.4357,0.00020384788513184,1777120125.4355,1777120125.4369,0.0014138221740723
208,226,1777120125.5173,1777120125.5175,0.00014519691467285,1777120125.5173,1777120125.5184,0.0010721683502197
209,237,1777120125.5994,1777120125.5996,0.00014305114746094,1777120125.5994,1777120125.6004,0.0010001659393311
