Index,"Post Length","Encryption Start","Encryption End","Encryption Delta","Start Time","End Time","Process Delta"
1,15950,1777122967.5479,1777122967.5481,0.00020813941955566,1777122967.5479,1777122967.5498,0.0019040107727051
2,16761,1777122967.7029,1777122967.703,0.00018000602722168,1777122967.7029,1777122967.7046,0.0017201900482178
3,22504,1777122967.811,1777122967.8112,0.00016093254089355,1777122967.811,1777122967.8128,0.0018460750579834
4,16095,1777122967.9194,1777122967.9195,0.00016593933105469,1777122967.9194,1777122967.921,0.0016310214996338
5,17992,1777122968.019,1777122968.0192,0.00014090538024902,1777122968.019,1777122968.0205,0.0014948844909668
6,22559,1777122968.1229,1777122968.123,0.0001528263092041,1777122968.1229,1777122968.1246,0.0017280578613281
7,15331,1777122968.2291,1777122968.2293,0.00021791458129883,1777122968.2291,1777122968.2309,0.0018291473388672
8,16761,1777122968.3364,1777122968.3365,0.0001518726348877,1777122968.3364,1777122968.3377,0.0013699531555176
9,21390,1777122968.4371,1777122968.4373,0.00021100044250488,1777122968.4371,1777122968.4388,0.0017080307006836
10,15142,1777122968.5408,1777122968.5411,0.00031590461730957,1777122968.5408,1777122968.5424,0.0016729831695557
11,16750,1777122968.646,1777122968.6462,0.00016212463378906,1777122968.646,1777122968.6477,0.0016560554504395
12,15150,1777122968.7856,1777122968.7858,0.00018596649169922,1777122968.7856,1777122968.7875,0.0018661022186279
13,15278,1777122968.9249,1777122968.925,0.00017786026000977,1777122968.9249,1777122968.9267,0.001845121383667
14,15219,1777122969.066,1777122969.0661,0.00018882751464844,1777122969.066,1777122969.0679,0.0019049644470215
15,20751,1777122969.2212,1777122969.2214,0.00018596649169922,1777122969.2212,1777122969.2231,0.0019068717956543
16,15795,1777122969.3741,1777122969.3743,0.00020813941955566,1777122969.3741,1777122969.3763,0.0022280216217041
17,15260,1777122969.5009,1777122969.5011,0.00017189979553223,1777122969.5009,1777122969.5025,0.0015709400177002
18,22550,1777122969.6063,1777122969.6064,0.00015401840209961,1777122969.6063,1777122969.6079,0.001594066619873
19,21609,1777122969.7339,1777122969.7341,0.00016999244689941,1777122969.7339,1777122969.7357,0.0017380714416504
20,22531,1777122969.8757,1777122969.8759,0.00017404556274414,1777122969.8757,1777122969.8775,0.0017910003662109
21,22562,1777122970.0084,1777122970.0086,0.00017595291137695,1777122970.0084,1777122970.0102,0.0017638206481934
22,15046,1777122970.1252,1777122970.1254,0.00016689300537109,1777122970.1252,1777122970.1269,0.0017349720001221
23,22550,1777122970.2352,1777122970.2355,0.00024580955505371,1777122970.2352,1777122970.237,0.0017590522766113
24,15542,1777122970.3619,1777122970.3622,0.00025391578674316,1777122970.3619,1777122970.3635,0.0016109943389893
25,17901,1777122970.465,1777122970.4651,0.00017189979553223,1777122970.465,1777122970.4665,0.0014829635620117
26,16096,1777122970.5661,1777122970.5662,0.00013899803161621,1777122970.5661,1777122970.5673,0.0012037754058838
27,16415,1777122970.6701,1777122970.6703,0.00015902519226074,1777122970.6701,1777122970.6714,0.0012350082397461
28,17761,1777122970.7731,1777122970.7733,0.00015091896057129,1777122970.7731,1777122970.7744,0.0012679100036621
29,21421,1777122970.8796,1777122970.8798,0.00014209747314453,1777122970.8796,1777122970.881,0.0013279914855957
30,15398,1777122970.9813,1777122970.9814,0.00014686584472656,1777122970.9813,1777122970.9826,0.0013549327850342
31,16611,1777122971.0819,1777122971.0821,0.00017118453979492,1777122971.0819,1777122971.0835,0.0016131401062012
32,15687,1777122971.1989,1777122971.1991,0.00020098686218262,1777122971.1989,1777122971.2005,0.0016160011291504
33,16988,1777122971.3294,1777122971.3295,0.00015592575073242,1777122971.3294,1777122971.331,0.0016660690307617
34,22530,1777122971.4588,1777122971.459,0.00020599365234375,1777122971.4588,1777122971.4606,0.0017900466918945
35,15233,1777122971.5676,1777122971.5678,0.00019001960754395,1777122971.5676,1777122971.5695,0.0019528865814209
36,15273,1777122971.6754,1777122971.6756,0.0001530647277832,1777122971.6754,1777122971.6767,0.0012221336364746
37,16838,1777122971.7899,1777122971.7901,0.00016093254089355,1777122971.7899,1777122971.7913,0.00142502784729
38,21598,1777122971.8952,1777122971.8953,0.00016403198242188,1777122971.8952,1777122971.8966,0.0014269351959229
39,15164,1777122972.0005,1777122972.0007,0.00018906593322754,1777122972.0005,1777122972.0018,0.001378059387207
40,17334,1777122972.1041,1777122972.1043,0.00018501281738281,1777122972.1041,1777122972.1055,0.0013761520385742
41,22514,1777122972.2144,1777122972.2146,0.00022482872009277,1777122972.2144,1777122972.2161,0.0017130374908447
42,22515,1777122972.3153,1777122972.3155,0.00014591217041016,1777122972.3153,1777122972.3167,0.001399040222168
43,16400,1777122972.4282,1777122972.4283,0.00015592575073242,1777122972.4282,1777122972.4296,0.0014779567718506
44,15324,1777122972.5392,1777122972.5394,0.00018787384033203,1777122972.5392,1777122972.541,0.0017051696777344
45,16555,1777122972.6512,1777122972.6513,0.00013613700866699,1777122972.6512,1777122972.6526,0.00136399269104
46,15060,1777122972.7534,1777122972.7536,0.00014495849609375,1777122972.7534,1777122972.7546,0.0012240409851074
47,15392,1777122972.8598,1777122972.86,0.00018000602722168,1777122972.8598,1777122972.8617,0.0018930435180664
48,16583,1777122972.9598,1777122972.96,0.00016903877258301,1777122972.9598,1777122972.9612,0.0013689994812012
49,17953,1777122973.0834,1777122973.0836,0.00019192695617676,1777122973.0834,1777122973.0849,0.0014729499816895
50,16804,1777122973.1874,1777122973.1876,0.0001988410949707,1777122973.1874,1777122973.1889,0.0014660358428955
51,15446,1777122973.2947,1777122973.295,0.00024509429931641,1777122973.2947,1777122973.2966,0.0018980503082275
52,16762,1777122973.4176,1777122973.4178,0.0001530647277832,1777122973.4176,1777122973.419,0.0013329982757568
53,15989,1777122973.5392,1777122973.5393,0.00015711784362793,1777122973.5392,1777122973.5405,0.0012831687927246
54,15213,1777122973.6467,1777122973.6469,0.00019097328186035,1777122973.6467,1777122973.6485,0.001823902130127
55,15248,1777122973.7571,1777122973.7574,0.00021100044250488,1777122973.7571,1777122973.759,0.0018861293792725
56,16416,1777122973.8573,1777122973.8575,0.00014615058898926,1777122973.8573,1777122973.8588,0.0014901161193848
57,15102,1777122973.9746,1777122973.9747,0.00017499923706055,1777122973.9746,1777122973.976,0.0014071464538574
58,15401,1777122974.1029,1777122974.1031,0.00017809867858887,1777122974.1029,1777122974.1048,0.0018339157104492
59,15429,1777122974.2034,1777122974.2036,0.00018501281738281,1777122974.2034,1777122974.205,0.0015881061553955
60,19068,1777122974.3118,1777122974.312,0.00015497207641602,1777122974.3118,1777122974.3134,0.0016188621520996
61,22520,1777122974.4306,1777122974.4308,0.00018191337585449,1777122974.4306,1777122974.4321,0.0014779567718506
62,15735,1777122974.5371,1777122974.5372,0.00016999244689941,1777122974.5371,1777122974.5385,0.0014128684997559
63,15813,1777122974.6403,1777122974.6405,0.00016403198242188,1777122974.6403,1777122974.642,0.0016849040985107
64,15409,1777122974.7654,1777122974.7656,0.00017499923706055,1777122974.7654,1777122974.7671,0.001708984375
65,15428,1777122974.8885,1777122974.8887,0.00020480155944824,1777122974.8885,1777122974.8901,0.0016331672668457
66,16332,1777122974.9967,1777122974.9968,0.00015592575073242,1777122974.9967,1777122974.9982,0.0014820098876953
67,16530,1777122975.153,1777122975.1532,0.00017595291137695,1777122975.153,1777122975.1544,0.0013630390167236
68,15422,1777122975.2819,1777122975.282,0.00015616416931152,1777122975.2819,1777122975.2833,0.001410961151123
69,15480,1777122975.3861,1777122975.3863,0.00017309188842773,1777122975.3861,1777122975.3877,0.0015890598297119
70,15153,1777122975.4889,1777122975.489,0.00015497207641602,1777122975.4889,1777122975.4903,0.0014059543609619
71,15810,1777122975.5886,1777122975.5888,0.00014805793762207,1777122975.5886,1777122975.59,0.00136399269104
72,15146,1777122975.6889,1777122975.6891,0.00014901161193848,1777122975.6889,1777122975.6902,0.0012750625610352
73,17296,1777122975.7944,1777122975.7946,0.00015115737915039,1777122975.7944,1777122975.7966,0.0021800994873047
74,19632,1777122975.9009,1777122975.901,0.00015997886657715,1777122975.9009,1777122975.9023,0.0013711452484131
75,16495,1777122976.0001,1777122976.0003,0.00016999244689941,1777122976.0001,1777122976.0015,0.0013620853424072
76,15330,1777122976.103,1777122976.1033,0.00029206275939941,1777122976.103,1777122976.1045,0.0015561580657959
77,16423,1777122976.206,1777122976.2061,0.00015592575073242,1777122976.2059,1777122976.2074,0.0014338493347168
78,16505,1777122976.3109,1777122976.3111,0.0001521110534668,1777122976.3109,1777122976.3125,0.0016000270843506
79,21407,1777122976.4205,1777122976.4207,0.00015616416931152,1777122976.4205,1777122976.4218,0.0013141632080078
80,16087,1777122976.5256,1777122976.5258,0.00016093254089355,1777122976.5256,1777122976.5273,0.0016200542449951
81,15444,1777122976.6621,1777122976.6623,0.00018692016601562,1777122976.6621,1777122976.6637,0.0015769004821777
82,21379,1777122976.7714,1777122976.7716,0.00018405914306641,1777122976.7714,1777122976.7729,0.0015268325805664
83,15756,1777122976.8941,1777122976.8942,0.00018715858459473,1777122976.8941,1777122976.8958,0.0017449855804443
84,15440,1777122976.9992,1777122976.9994,0.00019001960754395,1777122976.9992,1777122977.0006,0.0014019012451172
85,15225,1777122977.1019,1777122977.1021,0.00017118453979492,1777122977.1019,1777122977.1033,0.0013840198516846
86,15123,1777122977.2056,1777122977.2058,0.0001680850982666,1777122977.2056,1777122977.2071,0.001446008682251
87,21621,1777122977.311,1777122977.3113,0.00026106834411621,1777122977.311,1777122977.3133,0.0023338794708252
88,15216,1777122977.4209,1777122977.421,0.00016617774963379,1777122977.4209,1777122977.4222,0.0013580322265625
89,15440,1777122977.5253,1777122977.5255,0.00015807151794434,1777122977.5253,1777122977.5266,0.0012919902801514
90,19611,1777122977.6416,1777122977.6418,0.00014805793762207,1777122977.6416,1777122977.643,0.0013999938964844
91,15770,1777122977.7429,1777122977.7431,0.00026893615722656,1777122977.7429,1777122977.7444,0.0015618801116943
92,21610,1777122977.852,1777122977.8521,0.0001380443572998,1777122977.852,1777122977.8533,0.0013589859008789
93,22548,1777122977.9582,1777122977.9583,0.00017809867858887,1777122977.9582,1777122977.9598,0.0016598701477051
94,17591,1777122978.0662,1777122978.0664,0.00017404556274414,1777122978.0662,1777122978.0678,0.0016508102416992
95,15041,1777122978.1725,1777122978.1727,0.00014305114746094,1777122978.1725,1777122978.1738,0.0012450218200684
96,16407,1777122978.2786,1777122978.2788,0.00020909309387207,1777122978.2786,1777122978.2803,0.0016870498657227
97,15151,1777122978.3875,1777122978.3878,0.00024318695068359,1777122978.3875,1777122978.3891,0.0015780925750732
98,21391,1777122978.498,1777122978.4982,0.0001680850982666,1777122978.498,1777122978.5,0.0019419193267822
